member_id,customer_segment,segment_name,churn_risk_score,engagement_score,visit_per_week,final_price,membership_type,home_gym_location
MB00001,0,Normal / Developing Members,16.329983541916455,34.388888888888886,2,47.5,Premium,"San Jose, CA"
MB00002,1,At-risk Members,87.34020307465123,84.72222222222223,5,30.0,Standard,"Fresno, CA"
MB00003,1,At-risk Members,85.15728117392824,74.61111111111111,4,27.0,Standard,"Oakland, CA"
MB00004,3,At-risk Members,84.33585686739184,40.91666666666667,2,20.0,Basic,"Anaheim, CA"
MB00005,0,Normal / Developing Members,17.810215491234896,50.361111111111114,2,27.0,Standard,"Sacramento, CA"
MB00006,0,Normal / Developing Members,15.661731511312057,26.36111111111111,1,27.0,Standard,"Los Angeles, CA"
MB00007,2,High Value Members,15.63025365881861,71.41666666666666,4,70.0,Elite,"San Diego, CA"
MB00008,1,At-risk Members,83.78680528387675,48.66666666666667,3,50.0,Premium,"Bakersfield, CA"
MB00009,1,At-risk Members,85.50296304287642,64.77777777777777,3,18.0,Basic,"San Francisco, CA"
MB00010,1,At-risk Members,84.59760507256134,47.666666666666664,4,18.0,Basic,"San Diego, CA"
MB00011,0,Normal / Developing Members,18.998902617634975,46.583333333333336,3,30.0,Standard,"San Francisco, CA"
MB00012,3,At-risk Members,83.04792276876296,51.888888888888886,2,28.5,Standard,"Los Angeles, CA"
MB00013,3,At-risk Members,86.19355930435134,44.0,1,22.5,Standard,"Oakland, CA"
MB00014,0,Normal / Developing Members,18.29821767546655,38.25,3,28.5,Standard,"Long Beach, CA"
MB00015,2,High Value Members,12.384902600336662,67.08333333333334,5,14.25,Basic,"Fresno, CA"
MB00016,0,Normal / Developing Members,13.745260155473554,20.805555555555557,1,35.625,Premium,"Bakersfield, CA"
MB00017,2,High Value Members,14.90183125790803,64.58333333333334,5,30.0,Standard,"San Jose, CA"
MB00018,1,At-risk Members,82.7053704707556,75.41666666666667,5,50.0,Premium,"San Jose, CA"
MB00019,0,Normal / Developing Members,16.918449211590534,32.583333333333336,2,35.625,Premium,"San Jose, CA"
MB00020,0,Normal / Developing Members,14.494866476865532,43.83333333333333,2,21.375,Standard,"Sacramento, CA"
MB00021,3,At-risk Members,87.86290302273687,43.166666666666664,1,37.5,Premium,"Long Beach, CA"
MB00022,0,Normal / Developing Members,13.0261880477864,39.69444444444444,1,30.0,Standard,"San Francisco, CA"
MB00023,0,Normal / Developing Members,21.30421960697479,35.80555555555556,1,28.5,Standard,"Bakersfield, CA"
MB00024,0,Normal / Developing Members,18.938298686928544,50.638888888888886,2,47.5,Premium,"San Diego, CA"
MB00025,2,High Value Members,29.52452327455325,65.69444444444444,5,30.0,Standard,"Los Angeles, CA"
MB00026,3,At-risk Members,79.40596257827467,52.30555555555556,2,12.75,Basic,"Oakland, CA"
MB00027,0,Normal / Developing Members,14.167067305512191,55.52777777777778,1,30.0,Standard,"Anaheim, CA"
MB00028,1,At-risk Members,87.67719057524835,73.05555555555556,5,15.0,Basic,"Sacramento, CA"
MB00029,1,At-risk Members,84.88643690660584,78.88888888888889,5,18.0,Basic,"Oakland, CA"
MB00030,2,High Value Members,14.702938501082267,56.05555555555556,2,37.5,Premium,"Bakersfield, CA"
MB00031,1,At-risk Members,83.02276286384685,72.08333333333334,5,50.0,Premium,"Oakland, CA"
MB00032,2,High Value Members,11.618489881724559,54.22222222222222,3,27.0,Standard,"Los Angeles, CA"
MB00033,0,Normal / Developing Members,10.372374580863013,42.27777777777778,3,30.0,Standard,"San Jose, CA"
MB00034,3,At-risk Members,82.16029723578745,57.33333333333333,1,22.5,Standard,"Anaheim, CA"
MB00035,3,At-risk Members,86.05445342302156,54.91666666666667,3,25.5,Standard,"Los Angeles, CA"
MB00036,1,At-risk Members,82.66654900801485,59.77777777777778,3,27.0,Standard,"Bakersfield, CA"
MB00037,0,Normal / Developing Members,13.172322298469386,52.58333333333333,2,45.0,Premium,"Oakland, CA"
MB00038,2,High Value Members,18.033005831624845,58.916666666666664,4,70.0,Elite,"Fresno, CA"
MB00039,1,At-risk Members,82.98455491882105,71.72222222222223,3,45.0,Premium,"Oakland, CA"
MB00040,2,High Value Members,22.391803423177542,77.91666666666667,5,28.5,Standard,"San Jose, CA"
MB00041,2,High Value Members,15.094520306966821,57.16666666666667,2,50.0,Premium,"Los Angeles, CA"
MB00042,0,Normal / Developing Members,16.35714973719998,51.19444444444444,2,37.5,Premium,"Fresno, CA"
MB00043,2,High Value Members,10.37333223311579,96.25,5,17.0,Basic,"Sacramento, CA"
MB00044,1,At-risk Members,82.14938770121492,87.91666666666667,5,30.0,Standard,"San Francisco, CA"
MB00045,2,High Value Members,18.613535874517385,74.63888888888889,3,22.5,Standard,"Fresno, CA"
MB00046,3,At-risk Members,78.6234083036714,30.944444444444443,1,37.5,Premium,"Bakersfield, CA"
MB00047,0,Normal / Developing Members,13.061849521922053,46.166666666666664,3,19.0,Basic,"Fresno, CA"
MB00048,1,At-risk Members,84.35295351031172,59.361111111111114,3,50.0,Premium,"Fresno, CA"
MB00049,3,At-risk Members,84.75609988838274,42.27777777777778,3,45.0,Premium,"Anaheim, CA"
MB00050,0,Normal / Developing Members,24.97565539452037,33.0,2,53.55,Elite,"Anaheim, CA"
MB00051,1,At-risk Members,81.2072294264921,71.80555555555556,5,12.75,Basic,"Fresno, CA"
MB00052,3,At-risk Members,87.14512682539029,54.77777777777778,3,50.0,Premium,"Long Beach, CA"
MB00053,3,At-risk Members,86.69886998515669,36.638888888888886,1,30.0,Standard,"San Francisco, CA"
MB00054,3,At-risk Members,84.99714799107188,38.41666666666667,2,35.625,Premium,"San Francisco, CA"
MB00055,1,At-risk Members,87.36202402051238,97.77777777777777,5,35.625,Premium,"San Jose, CA"
MB00056,3,At-risk Members,84.99620890503088,37.888888888888886,1,50.0,Premium,"Sacramento, CA"
MB00057,0,Normal / Developing Members,13.60458195053756,38.16666666666667,1,45.0,Premium,"San Diego, CA"
MB00058,0,Normal / Developing Members,17.773462342711266,49.388888888888886,2,37.5,Premium,"Oakland, CA"
MB00059,0,Normal / Developing Members,16.66886435671642,48.58333333333333,1,25.5,Standard,"Long Beach, CA"
MB00060,0,Normal / Developing Members,10.31283198323229,54.94444444444444,2,13.5,Basic,"San Diego, CA"
MB00061,0,Normal / Developing Members,14.126741074749049,55.52777777777778,1,19.0,Basic,"Fresno, CA"
MB00062,2,High Value Members,9.109532577675834,58.22222222222222,4,37.5,Premium,"Fresno, CA"
MB00063,3,At-risk Members,87.10761219872977,44.97222222222222,1,21.375,Standard,"San Diego, CA"
MB00064,0,Normal / Developing Members,19.42340830367139,30.944444444444443,1,37.5,Premium,"Bakersfield, CA"
MB00065,0,Normal / Developing Members,8.061979862488739,53.02777777777778,1,17.1,Basic,"Long Beach, CA"
MB00066,3,At-risk Members,82.46610665925431,38.02777777777778,1,37.5,Premium,"Sacramento, CA"
MB00067,0,Normal / Developing Members,13.04070824825147,31.77777777777778,1,45.0,Premium,"Fresno, CA"
MB00068,1,At-risk Members,89.02343597110959,74.75,4,21.375,Standard,"Bakersfield, CA"
MB00069,0,Normal / Developing Members,10.251772221476932,43.72222222222222,1,45.0,Premium,"Sacramento, CA"
MB00070,1,At-risk Members,81.24070472488016,56.0,4,30.0,Standard,"Oakland, CA"
MB00071,1,At-risk Members,80.61706421505185,58.388888888888886,3,35.625,Premium,"San Diego, CA"
MB00072,0,Normal / Developing Members,13.277492059286647,53.388888888888886,3,27.0,Standard,"San Diego, CA"
MB00073,0,Normal / Developing Members,13.151997980282404,44.111111111111114,2,19.0,Basic,"Fresno, CA"
MB00074,3,At-risk Members,84.65518532899179,59.77777777777778,3,15.0,Basic,"Long Beach, CA"
MB00075,3,At-risk Members,81.7868278433254,34.69444444444444,1,50.0,Premium,"San Jose, CA"
MB00076,3,At-risk Members,85.33915801921961,43.138888888888886,2,20.0,Basic,"Bakersfield, CA"
MB00077,1,At-risk Members,87.34527404921516,89.30555555555556,5,63.0,Elite,"Oakland, CA"
MB00078,2,High Value Members,28.76993311455662,59.47222222222222,4,70.0,Elite,"San Diego, CA"
MB00079,0,Normal / Developing Members,16.912015530901044,43.41666666666667,2,25.5,Standard,"Long Beach, CA"
MB00080,0,Normal / Developing Members,19.276481629665636,46.47222222222222,2,66.5,Elite,"Fresno, CA"
MB00081,3,At-risk Members,83.99384413826574,48.166666666666664,1,30.0,Standard,"Long Beach, CA"
MB00082,3,At-risk Members,88.34972960223702,53.30555555555556,1,70.0,Elite,"Long Beach, CA"
MB00083,2,High Value Members,15.100818118387553,52.833333333333336,3,22.95,Standard,"Fresno, CA"
MB00084,0,Normal / Developing Members,14.658797783467325,38.861111111111114,1,38.25,Premium,"Bakersfield, CA"
MB00085,0,Normal / Developing Members,16.00069737097245,42.166666666666664,2,20.0,Basic,"San Francisco, CA"
MB00086,0,Normal / Developing Members,17.10488413284089,47.58333333333333,2,47.5,Premium,"San Jose, CA"
MB00087,1,At-risk Members,87.27229253406945,66.19444444444444,2,45.0,Premium,"Sacramento, CA"
MB00088,1,At-risk Members,84.93313822405895,55.166666666666664,4,63.0,Elite,"Fresno, CA"
MB00089,1,At-risk Members,74.36414194232938,65.22222222222223,2,53.55,Elite,"Sacramento, CA"
MB00090,0,Normal / Developing Members,13.342972436755312,54.5,3,27.0,Standard,"Oakland, CA"
MB00091,0,Normal / Developing Members,12.079447421039747,60.361111111111114,2,30.0,Standard,"Oakland, CA"
MB00092,3,At-risk Members,86.03180738235775,37.30555555555556,2,22.5,Standard,"Bakersfield, CA"
MB00093,3,At-risk Members,91.45121636335611,53.666666666666664,3,12.75,Basic,"Sacramento, CA"
MB00094,1,At-risk Members,82.61355713178374,65.77777777777777,2,25.5,Standard,"Fresno, CA"
MB00095,1,At-risk Members,85.90511444344546,73.0,2,20.25,Standard,"Anaheim, CA"
