date_key,date,year,quarter,month,month_name,day,day_of_week
20220724,2022-07-24,2022,3,7,July,24,Sunday
20220725,2022-07-25,2022,3,7,July,25,Monday
20220726,2022-07-26,2022,3,7,July,26,Tuesday
20220727,2022-07-27,2022,3,7,July,27,Wednesday
20220728,2022-07-28,2022,3,7,July,28,Thursday
20220729,2022-07-29,2022,3,7,July,29,Friday
20220730,2022-07-30,2022,3,7,July,30,Saturday
20220731,2022-07-31,2022,3,7,July,31,Sunday
20220801,2022-08-01,2022,3,8,August,1,Monday
20220802,2022-08-02,2022,3,8,August,2,Tuesday
20220803,2022-08-03,2022,3,8,August,3,Wednesday
20220804,2022-08-04,2022,3,8,August,4,Thursday
20220805,2022-08-05,2022,3,8,August,5,Friday
20220806,2022-08-06,2022,3,8,August,6,Saturday
20220807,2022-08-07,2022,3,8,August,7,Sunday
20220808,2022-08-08,2022,3,8,August,8,Monday
20220809,2022-08-09,2022,3,8,August,9,Tuesday
20220810,2022-08-10,2022,3,8,August,10,Wednesday
20220811,2022-08-11,2022,3,8,August,11,Thursday
20220812,2022-08-12,2022,3,8,August,12,Friday
20220813,2022-08-13,2022,3,8,August,13,Saturday
20220814,2022-08-14,2022,3,8,August,14,Sunday
20220815,2022-08-15,2022,3,8,August,15,Monday
20220816,2022-08-16,2022,3,8,August,16,Tuesday
20220817,2022-08-17,2022,3,8,August,17,Wednesday
20220818,2022-08-18,2022,3,8,August,18,Thursday
20220819,2022-08-19,2022,3,8,August,19,Friday
20220820,2022-08-20,2022,3,8,August,20,Saturday
20220821,2022-08-21,2022,3,8,August,21,Sunday
20220822,2022-08-22,2022,3,8,August,22,Monday
20220823,2022-08-23,2022,3,8,August,23,Tuesday
20220824,2022-08-24,2022,3,8,August,24,Wednesday
20220825,2022-08-25,2022,3,8,August,25,Thursday
20220826,2022-08-26,2022,3,8,August,26,Friday
20220827,2022-08-27,2022,3,8,August,27,Saturday
20220828,2022-08-28,2022,3,8,August,28,Sunday
20220829,2022-08-29,2022,3,8,August,29,Monday
20220830,2022-08-30,2022,3,8,August,30,Tuesday
20220831,2022-08-31,2022,3,8,August,31,Wednesday
20220901,2022-09-01,2022,3,9,September,1,Thursday
20220902,2022-09-02,2022,3,9,September,2,Friday
20220903,2022-09-03,2022,3,9,September,3,Saturday
20220904,2022-09-04,2022,3,9,September,4,Sunday
20220905,2022-09-05,2022,3,9,September,5,Monday
20220906,2022-09-06,2022,3,9,September,6,Tuesday
20220907,2022-09-07,2022,3,9,September,7,Wednesday
20220908,2022-09-08,2022,3,9,September,8,Thursday
20220909,2022-09-09,2022,3,9,September,9,Friday
20220910,2022-09-10,2022,3,9,September,10,Saturday
20220911,2022-09-11,2022,3,9,September,11,Sunday
20220912,2022-09-12,2022,3,9,September,12,Monday
20220913,2022-09-13,2022,3,9,September,13,Tuesday
20220914,2022-09-14,2022,3,9,September,14,Wednesday
20220915,2022-09-15,2022,3,9,September,15,Thursday
20220916,2022-09-16,2022,3,9,September,16,Friday
20220917,2022-09-17,2022,3,9,September,17,Saturday
20220918,2022-09-18,2022,3,9,September,18,Sunday
20220919,2022-09-19,2022,3,9,September,19,Monday
20220920,2022-09-20,2022,3,9,September,20,Tuesday
20220921,2022-09-21,2022,3,9,September,21,Wednesday
20220922,2022-09-22,2022,3,9,September,22,Thursday
20220923,2022-09-23,2022,3,9,September,23,Friday
20220924,2022-09-24,2022,3,9,September,24,Saturday
20220925,2022-09-25,2022,3,9,September,25,Sunday
20220926,2022-09-26,2022,3,9,September,26,Monday
20220927,2022-09-27,2022,3,9,September,27,Tuesday
20220928,2022-09-28,2022,3,9,September,28,Wednesday
20220929,2022-09-29,2022,3,9,September,29,Thursday
20220930,2022-09-30,2022,3,9,September,30,Friday
20221001,2022-10-01,2022,4,10,October,1,Saturday
20221002,2022-10-02,2022,4,10,October,2,Sunday
20221003,2022-10-03,2022,4,10,October,3,Monday
20221004,2022-10-04,2022,4,10,October,4,Tuesday
20221005,2022-10-05,2022,4,10,October,5,Wednesday
20221006,2022-10-06,2022,4,10,October,6,Thursday
20221007,2022-10-07,2022,4,10,October,7,Friday
20221008,2022-10-08,2022,4,10,October,8,Saturday
20221009,2022-10-09,2022,4,10,October,9,Sunday
20221010,2022-10-10,2022,4,10,October,10,Monday
20221011,2022-10-11,2022,4,10,October,11,Tuesday
20221012,2022-10-12,2022,4,10,October,12,Wednesday
20221013,2022-10-13,2022,4,10,October,13,Thursday
20221014,2022-10-14,2022,4,10,October,14,Friday
20221015,2022-10-15,2022,4,10,October,15,Saturday
20221016,2022-10-16,2022,4,10,October,16,Sunday
20221017,2022-10-17,2022,4,10,October,17,Monday
20221018,2022-10-18,2022,4,10,October,18,Tuesday
20221019,2022-10-19,2022,4,10,October,19,Wednesday
20221020,2022-10-20,2022,4,10,October,20,Thursday
20221021,2022-10-21,2022,4,10,October,21,Friday
20221022,2022-10-22,2022,4,10,October,22,Saturday
20221023,2022-10-23,2022,4,10,October,23,Sunday
20221024,2022-10-24,2022,4,10,October,24,Monday
20221025,2022-10-25,2022,4,10,October,25,Tuesday
20221026,2022-10-26,2022,4,10,October,26,Wednesday
20221027,2022-10-27,2022,4,10,October,27,Thursday
20221028,2022-10-28,2022,4,10,October,28,Friday
20221029,2022-10-29,2022,4,10,October,29,Saturday
20221030,2022-10-30,2022,4,10,October,30,Sunday
20221031,2022-10-31,2022,4,10,October,31,Monday
20221101,2022-11-01,2022,4,11,November,1,Tuesday
20221102,2022-11-02,2022,4,11,November,2,Wednesday
20221103,2022-11-03,2022,4,11,November,3,Thursday
20221104,2022-11-04,2022,4,11,November,4,Friday
20221105,2022-11-05,2022,4,11,November,5,Saturday
20221106,2022-11-06,2022,4,11,November,6,Sunday
20221107,2022-11-07,2022,4,11,November,7,Monday
20221108,2022-11-08,2022,4,11,November,8,Tuesday
20221109,2022-11-09,2022,4,11,November,9,Wednesday
20221110,2022-11-10,2022,4,11,November,10,Thursday
