member_id,age,self_identified_gender,join_date,membership_tenure_days,risk_level,churn,churn_label,engagement_score,engagement_level
MB00001,40,Male,2024-05-20,429,Low Risk,0,Retained,25.916666666666664,Low Engagement
MB00002,35,Non-binary,2022-09-14,1043,High Risk,1,Churn,84.66666666666669,High Engagement
MB00003,39,Male,2023-05-05,810,Medium Risk,1,Churn,69.08333333333334,High Engagement
MB00004,35,Male,2023-09-24,668,Medium Risk,1,Churn,31.75,Low Engagement
MB00005,18,Prefer not to say,2025-01-07,197,Active,0,Retained,43.08333333333334,Medium Engagement
MB00006,43,Prefer not to say,2025-01-07,197,Active,0,Retained,13.833333333333334,Low Engagement
MB00007,29,Prefer not to say,2025-04-22,92,Active,0,Retained,65.25000000000001,High Engagement
MB00008,49,Prefer not to say,2022-12-13,953,High Risk,1,Churn,43.50000000000001,Medium Engagement
MB00009,24,Other (self-described),2023-09-21,671,Medium Risk,1,Churn,58.833333333333336,Medium Engagement
MB00010,33,Male,2023-05-30,785,Medium Risk,1,Churn,42.75000000000001,Medium Engagement
MB00011,14,Male,2025-06-01,52,Active,0,Retained,40.0,Medium Engagement
MB00012,43,Female,2022-08-25,1063,High Risk,1,Churn,44.91666666666667,Medium Engagement
MB00013,33,Non-binary,2023-01-18,917,High Risk,1,Churn,33.0,Low Engagement
MB00014,28,Male,2024-11-08,257,Active,0,Retained,31.0,Low Engagement
MB00015,49,Female,2024-12-11,224,Active,0,Retained,63.5,High Engagement
MB00016,27,Prefer not to say,2024-12-09,226,Active,0,Retained,9.166666666666666,Low Engagement
MB00017,26,Other (self-described),2024-08-02,355,Low Risk,0,Retained,62.5,High Engagement
MB00018,25,Male,2023-12-12,589,Medium Risk,1,Churn,72.50000000000001,High Engagement
MB00019,13,Prefer not to say,2024-03-19,491,Low Risk,0,Retained,23.75,Low Engagement
MB00020,25,Non-binary,2024-08-16,341,Low Risk,0,Retained,35.25,Medium Engagement
MB00021,21,Male,2023-09-10,682,Medium Risk,1,Churn,30.0,Low Engagement
MB00022,37,Female,2025-01-25,179,Active,0,Retained,28.833333333333332,Low Engagement
MB00023,23,Female,2024-08-15,342,Low Risk,0,Retained,23.166666666666664,Low Engagement
MB00024,34,Male,2024-05-28,421,Low Risk,0,Retained,40.416666666666664,Medium Engagement
MB00025,12,Male,2024-02-23,516,Low Risk,0,Retained,63.83333333333334,High Engagement
MB00026,40,Prefer not to say,2023-03-09,867,High Risk,1,Churn,42.41666666666667,Medium Engagement
MB00027,49,Female,2024-11-22,243,Active,0,Retained,45.833333333333336,Medium Engagement
MB00028,39,Male,2023-12-23,578,Medium Risk,1,Churn,69.66666666666667,High Engagement
MB00029,22,Male,2023-10-01,661,Medium Risk,1,Churn,78.66666666666667,High Engagement
MB00030,17,Non-binary,2025-05-04,80,Active,0,Retained,48.91666666666667,Medium Engagement
MB00031,16,Male,2023-09-14,678,Medium Risk,1,Churn,69.5,High Engagement
MB00032,49,Female,2024-12-23,212,Active,0,Retained,49.166666666666664,Medium Engagement
MB00033,49,Male,2025-04-14,100,Active,0,Retained,33.833333333333336,Low Engagement
MB00034,37,Male,2022-09-16,1041,High Risk,1,Churn,46.99999999999999,Medium Engagement
MB00035,33,Male,2022-08-29,1059,High Risk,1,Churn,48.00000000000001,Medium Engagement
MB00036,23,Non-binary,2023-02-13,891,High Risk,1,Churn,53.833333333333336,Medium Engagement
MB00037,14,Other (self-described),2024-08-02,355,Low Risk,0,Retained,44.74999999999999,Medium Engagement
MB00038,45,Female,2025-03-10,135,Active,0,Retained,53.25000000000001,Medium Engagement
MB00039,47,Non-binary,2023-06-25,759,Medium Risk,1,Churn,65.16666666666667,High Engagement
MB00040,22,Male,2024-03-11,499,Low Risk,0,Retained,75.50000000000001,High Engagement
MB00041,17,Non-binary,2025-02-13,160,Active,0,Retained,50.25000000000001,Medium Engagement
MB00042,20,Prefer not to say,2024-01-12,558,Low Risk,0,Retained,42.083333333333336,Medium Engagement
MB00043,12,Male,2025-05-17,67,Active,0,Retained,95.5,High Engagement
MB00044,42,Female,2022-10-28,999,High Risk,1,Churn,86.5,High Engagement
MB00045,18,Non-binary,2024-09-20,306,Low Risk,0,Retained,69.66666666666667,High Engagement
MB00046,36,Other (self-described),2023-07-18,736,Medium Risk,1,Churn,21.333333333333336,Low Engagement
MB00047,23,Prefer not to say,2024-07-26,362,Low Risk,0,Retained,37.5,Medium Engagement
MB00048,36,Male,2023-12-17,584,Medium Risk,1,Churn,52.33333333333334,Medium Engagement
MB00049,36,Female,2023-11-18,613,Medium Risk,1,Churn,33.833333333333336,Low Engagement
MB00050,17,Male,2024-12-08,227,Active,0,Retained,22.25,Low Engagement
MB00051,32,Prefer not to say,2022-08-25,1063,High Risk,1,Churn,69.16666666666667,High Engagement
MB00052,40,Male,2023-03-20,856,High Risk,1,Churn,47.833333333333336,Medium Engagement
MB00053,46,Non-binary,2022-09-26,1031,High Risk,1,Churn,27.166666666666668,Low Engagement
MB00054,39,Non-binary,2022-11-13,983,High Risk,1,Churn,28.749999999999996,Low Engagement
MB00055,30,Non-binary,2023-09-25,667,Medium Risk,1,Churn,97.33333333333334,High Engagement
