member_id,churn,churn_label,churn_risk_score,risk_level_ml,recommended_retention_action,membership_type,subscription_model,discount_type,visit_per_week,duration_in_gym_minutes,membership_tenure_days,days_since_last_visit,engagement_score,home_gym_location
MB01957,1,Churn,93.94519675964219,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,3,68,708,39,51.44444444444444,"San Francisco, CA"
MB01883,1,Churn,93.67727752136908,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,121,841,46,73.80555555555556,"San Diego, CA"
MB00961,1,Churn,93.6152102070242,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,3,68,673,37,51.44444444444444,"San Francisco, CA"
MB01978,1,Churn,93.48794395491575,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,3,68,927,51,51.44444444444444,"San Francisco, CA"
MB00884,1,Churn,93.33136010559554,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,121,882,48,73.80555555555556,"San Diego, CA"
MB01259,1,Churn,93.31099065048163,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,3,67,650,35,56.30555555555556,"San Jose, CA"
MB01052,1,Churn,93.28030151128098,Critical Risk,Early-warning call/SMS; Invite to free group lesson; Win-back voucher,Elite,Monthly,No Discount,3,68,1031,57,51.44444444444444,"San Francisco, CA"
MB01469,1,Churn,92.7134835044812,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,3,67,864,47,56.30555555555556,"San Jose, CA"
MB01664,1,Churn,92.7134835044812,Critical Risk,Early-warning call/SMS; Offer trial PT session; Win-back voucher,Elite,Monthly,No Discount,3,67,1087,60,56.30555555555556,"San Jose, CA"
MB01045,1,Churn,92.62318792730167,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,121,686,37,73.80555555555556,"San Diego, CA"
MB00175,1,Churn,92.62318792730167,Critical Risk,Early-warning call/SMS; Win-back voucher,Elite,Monthly,No Discount,3,121,718,39,73.80555555555556,"San Diego, CA"
